,,optimo,fitness,fitness,fitness,fitness,id_ejec
,,min,std,min,mean,median,count
algorithm,instance,,,,,,
GWO_SCP_BCL1_CPU_C,mscp41,429,1.4675987714106875,431.0,432.6666666666667,432.0,27
GWO_SCP_BCL1_CPU_C,mscp51,253,3.264365888818944,255.0,260.2857142857143,260.0,28
GWO_SCP_BCL1_CPU_C,mscp61,138,1.518360536635425,140.0,142.3448275862069,142.0,29
GWO_SCP_BCL1_CPU_C,mscpa1,253,1.5705625319186243,259.0,260.75,260.5,16
GWO_SCP_BCL1_CPU_C,mscpb1,69,0.5909368402852786,69.0,69.85714285714286,70.0,28
GWO_SCP_BCL1_CPU_C,mscpc1,227,2.663688813513712,234.0,238.33333333333334,239.0,15
GWO_SCP_BCL1_CPU_C,mscpd1,60,0.8242255917447341,60.0,61.375,62.0,24
GWO_SCP_QL1_CPU_C,mscp41,429,2.2191735359803926,430.0,433.51612903225805,434.0,31
GWO_SCP_QL1_CPU_C,mscp51,253,3.8663000222524078,256.0,260.6551724137931,259.0,29
GWO_SCP_QL1_CPU_C,mscp61,138,3.2710854467592245,140.0,143.7,143.0,30
GWO_SCP_QL1_CPU_C,mscpa1,253,5.207521442096282,259.0,263.5806451612903,262.0,31
GWO_SCP_QL1_CPU_C,mscpb1,69,5.62788755036647,69.0,71.83870967741936,70.0,31
GWO_SCP_QL1_CPU_C,mscpc1,227,2.1483446221183,233.0,237.15384615384616,237.5,26
GWO_SCP_QL1_CPU_C,mscpd1,60,2.190890230020665,60.0,62.6,62.0,30
ANTHHGWO_SCP_FERO_CPU_C,mscp41,429,2.496150883013527,430.0,433.3076923076923,434.0,27
ANTHHGWO_SCP_FERO_CPU_C,mscp51,253,2.4337372337779035,257.0,260.38461538461536,260.0,28
ANTHHGWO_SCP_FERO_CPU_C,mscp61,138,1.2798809468443724,139.0,141.73333333333332,142.0,31
ANTHHGWO_SCP_FERO_CPU_C,mscpa1,253,1.8786076404259255,259.0,261.9375,262.0,26
ANTHHGWO_SCP_FERO_CPU_C,mscpb1,69,0.704792186494563,69.0,69.44444444444444,69.0,30
ANTHHGWO_SCP_FERO_CPU_C,mscpc1,227,1.154700538379251,235.0,237.0,237.0,16
ANTHHGWO_SCP_FERO_CPU_C,mscpd1,60,0.8498365855987968,60.0,61.611111111111114,61.5,30
ANTHHGWO_SCP_QL1_CPU_C,mscp41,429,2.17503315624595,430.0,433.3076923076923,433.0,28
ANTHHGWO_SCP_QL1_CPU_C,mscp51,253,3.148295523911681,256.0,259.1666666666667,258.0,29
ANTHHGWO_SCP_QL1_CPU_C,mscp61,138,1.2277430273377512,140.0,141.58823529411765,142.0,31
ANTHHGWO_SCP_QL1_CPU_C,mscpa1,253,1.928651593652148,257.0,260.4166666666667,260.5,28
ANTHHGWO_SCP_QL1_CPU_C,mscpb1,69,0.4688072309384955,69.0,69.28571428571429,69.0,29
ANTHHGWO_SCP_QL1_CPU_C,mscpc1,227,1.3204505835470486,233.0,235.92307692307693,236.0,20
ANTHHGWO_SCP_QL1_CPU_C,mscpd1,60,1.0836246694508307,60.0,61.583333333333336,61.0,29
